"","sex","age","race","hispanic_origin","citizenship","nativity","marital","family_size","children","education_level","english_level","salary","hours_worked","weeks_worked","occupation","industry","economic_region"
"77","male",35,"black","no",1,"native","married",3,0,20,1,21000,40,49,"11-9030","6111","Rocky Mountain"
"78","female",47,"white","no",1,"native","married",4,2,21,0,36000,38,39,"25-90XX","6111","Far West"
"79","male",23,"mix","no",1,"native","never married",1,-1,19,0,27000,55,49,"55-9830","928110P1","Rocky Mountain"
"80","female",33,"black","no",1,"native","never married",4,3,17,0,8000,30,49,"35-2010","6111","Southeast"
"81","male",22,"black","no",1,"native","never married",2,0,19,0,5000,25,49,"39-9032","611M1","Great Lakes"
"82","male",47,"white","no",1,"native","married",4,1,20,0,160000,50,49,"11-91XX","9211MP","Far West"
"83","male",64,"white","no",1,"native","married",2,0,22,0,80000,40,49,"11-91XX","9211MP","Southeast"
"84","female",59,"black","no",1,"native","separated",1,0,10,1,14400,40,49,"35-9011","6111","Southeast"
"85","female",32,"asian","no",4,"foreign-born","married",4,1,22,1,69000,40,49,"17-2081","92M1","Mideast"
"86","female",55,"white","yes",4,"foreign-born","divorced",4,0,21,1,92000,46,49,"19-10XX","622M","Mideast"
"87","male",36,"white","no",1,"native","married",4,2,19,0,40000,40,49,"33-3050","92MP","Southeast"
"88","male",45,"white","no",1,"native","married",5,3,22,0,120000,50,49,"53-2010","928110P2","Rocky Mountain"
"89","female",37,"white","no",1,"native","never married",3,0,22,0,35000,40,49,"25-2030","6111","Southeast"
"90","male",47,"white","no",3,"native","married",3,0,16,0,52000,40,49,"33-3012","92MP","Plains"
"91","female",20,"white","yes",1,"native","never married",1,-1,19,1,2800,10,26,"25-3041","611M3","Far West"
"92","female",26,"black","no",1,"native","married",2,0,21,0,41000,40,49,"19-10XX","923","Southeast"
"93","female",37,"white","no",1,"native","married",4,2,24,0,65000,40,49,"11-9030","611M1","Rocky Mountain"
"94","male",38,"black","no",1,"native","married",3,1,21,0,90000,45,49,"13-1041","622M","Mideast"
"95","male",59,"white","yes",1,"native","divorced",2,1,23,1,165000,40,49,"23-10XX","92MP","Far West"
"96","female",50,"white","no",1,"native","never married",1,0,21,0,43000,40,49,"21-1029","9211MP","New England"
"97","male",33,"white","no",1,"native","never married",1,0,19,1,45000,70,39,"33-2011","92MP","Rocky Mountain"
"98","female",38,"white","yes",1,"native","never married",1,0,21,0,55000,35,49,"13-1070","923","Mideast"
"99","female",51,"white","no",1,"native","married",4,1,24,0,50000,40,49,"25-2020","6111","Southeast"
"100","female",38,"black","no",1,"native","married",4,2,21,0,48000,37,49,"21-1012","611M1","Mideast"
"101","male",32,"white","no",1,"native","married",2,0,22,0,42000,40,39,"25-2050","6111","Southeast"
"102","male",37,"white","no",1,"native","married",4,2,22,1,60000,55,49,"25-2020","6111","Mideast"
"103","male",50,"white","no",1,"native","married",4,2,16,0,43000,40,49,"51-8031","22132","Great Lakes"
"104","male",38,"white","no",1,"native","divorced",1,0,16,0,40000,40,0,"33-3050","611M1","Rocky Mountain"
"105","male",60,"white","no",4,"foreign-born","married",2,0,24,1,120000,50,49,"25-1000","611M1","Rocky Mountain"
"106","male",32,"white","no",1,"native","never married",1,0,21,0,55000,40,49,"33-3021","92MP","Mideast"
"107","male",64,"white","no",1,"native","married",2,0,22,0,76000,40,49,"11-91XX","928P","Southeast"
"108","female",25,"black","no",1,"native","never married",2,0,21,0,41000,40,26,"25-2020","6111","Southeast"
"109","female",64,"white","yes",1,"native","married",3,0,20,1,95000,40,49,"11-91XX","531M","Far West"
"110","male",24,"white","no",1,"native","never married",2,1,16,0,30000,45,49,"47-2061","23","Southeast"
"111","female",38,"white","no",1,"native","divorced",1,0,22,0,56000,60,49,"25-2020","6111","Mideast"
"112","female",25,"white","no",1,"native","married",3,1,21,0,27000,35,49,"43-9061","92MP","Mideast"
"113","male",45,"white","no",1,"native","widowed",1,0,16,0,60000,48,49,"37-201X","6111","Rocky Mountain"
"114","male",57,"white","no",1,"native","divorced",1,0,21,0,50000,35,49,"25-1000","611M1","New England"
"115","female",28,"white","no",1,"native","never married",1,0,22,0,58000,40,49,"33-3021","92MP","Far West"
"116","female",57,"white","no",1,"native","married",5,0,19,0,54000,40,49,"43-9061","6111","Great Lakes"
"117","male",33,"white","no",1,"native","never married",3,0,18,0,25000,40,49,"33-3050","92MP","Mideast"
"118","female",49,"white","yes",1,"native","married",4,1,21,0,76000,55,39,"25-2030","6111","Mideast"
"119","female",34,"white","yes",1,"native","married",4,1,22,0,35000,40,49,"43-4051","92M1","Far West"
"120","male",58,"white","no",1,"native","married",2,0,16,0,60000,40,49,"17-302X","92M2","Rocky Mountain"
"121","female",48,"other","yes",1,"native","married",2,0,21,2,25000,40,49,"43-6014","6111","Far West"
"122","male",27,"NHOPI","no",1,"native","never married",3,0,16,0,17000,40,49,"37-301X","92M2","Far West"
"123","male",55,"white","no",1,"native","married",2,0,22,0,68000,40,49,"11-9030","6111","Rocky Mountain"
"124","male",57,"white","no",1,"native","married",2,0,17,0,41500,86,26,"33-3050","92MP","Southeast"
"125","female",48,"white","no",1,"native","married",2,0,16,0,45000,40,49,"21-1022","6241","Southeast"
"126","male",51,"white","no",3,"native","married",3,1,16,0,56000,40,49,"47-2111","611M1","Southeast"
"127","female",34,"black","no",1,"native","never married",1,0,22,0,40000,40,49,"21-1029","6241","Southeast"
"128","female",55,"black","no",1,"native","married",5,0,16,0,102000,40,49,"11-91XX","9211MP","Mideast"
"129","male",60,"white","no",1,"native","married",2,0,17,0,47200,40,49,"49-1011","2213M","Southeast"
"130","male",42,"white","no",1,"native","married",4,2,18,0,48000,50,49,"33-3050","92MP","Southeast"
"131","male",32,"white","no",1,"native","never married",3,0,24,0,60000,48,49,"23-1012","9211MP","New England"
"132","male",64,"white","no",1,"native","married",2,0,18,0,39000,45,49,"37-201X","92MP","Rocky Mountain"
"133","female",47,"white","no",1,"native","married",3,1,22,0,72000,40,49,"25-2050","6111","Mideast"
"134","male",55,"white","no",1,"native","married",3,0,21,0,98000,45,49,"11-3021","928P","Mideast"
"135","male",51,"white","no",1,"native","married",3,1,20,0,55000,40,49,"47-2031","622M","Mideast"
"136","male",50,"white","no",1,"native","married",4,1,19,0,75000,43,39,"33-2011","92MP","Southeast"
"137","male",62,"black","no",4,"foreign-born","married",4,2,21,1,24000,35,49,"25-9040","6111","Southeast"
"138","male",29,"mix","no",1,"native","never married",4,0,20,0,18800,34,39,"25-9040","6111","Far West"
"139","male",49,"white","no",1,"native","divorced",1,0,21,0,36000,40,49,"21-1092","92MP","Plains"
"140","female",39,"white","no",3,"native","married",3,1,22,0,70000,40,49,"21-1012","6111","Mideast"
"141","male",56,"white","no",1,"native","married",2,0,22,0,1e+05,35,49,"49-2011","5415","Mideast"
"142","male",41,"white","no",1,"native","divorced",1,0,18,0,31000,42,49,"33-3012","92MP","Great Lakes"
"143","male",49,"black","no",1,"native","married",4,1,19,0,110000,50,49,"33-3021","92MP","Mideast"
"144","male",50,"white","no",1,"native","married",2,0,21,0,65000,45,39,"25-2030","6111","Plains"
"145","male",47,"white","no",1,"native","married",4,2,21,0,90000,72,49,"33-2011","92MP","Far West"
"146","female",52,"white","no",1,"native","divorced",3,0,20,0,26000,30,49,"31-1122","6216","Mideast"
"147","male",54,"white","no",1,"native","married",3,0,16,0,40000,45,49,"47-2070","23","Southeast"
"148","female",36,"white","yes",1,"native","never married",2,0,22,1,133000,40,49,"11-91XX","923","Far West"
"149","female",27,"white","no",1,"native","married",2,0,21,0,42000,45,49,"25-2020","6111","Southeast"
"150","male",27,"white","no",1,"native","married",2,0,20,0,70000,60,49,"33-3050","92MP","Mideast"
"151","male",40,"white","yes",1,"native","married",5,3,19,1,80000,40,49,"33-2011","92MP","Great Lakes"
"152","male",32,"white","yes",1,"native","never married",1,0,20,0,70000,40,49,"33-3050","92MP","Far West"
"153","female",61,"white","no",1,"native","married",6,0,21,0,80000,40,49,"25-2020","6111","Far West"
"154","male",37,"white","no",1,"native","married",4,1,21,0,42000,52,49,"33-3050","92MP","Southeast"
"155","male",31,"AIAN","no",1,"native","married",6,0,16,1,30000,50,49,"47-3010","23","Far West"
"156","female",30,"black","no",1,"native","married",2,0,16,0,17000,40,49,"35-2010","92MP","Southeast"
"157","female",28,"white","no",1,"native","married",2,0,20,0,23500,35,49,"11-91XX","92MP","Southeast"
"158","female",47,"white","no",1,"native","divorced",2,0,22,0,40000,40,39,"25-2020","6111","Rocky Mountain"
"159","male",51,"white","no",1,"native","married",2,0,21,0,75000,40,49,"33-3050","92MP","Far West"
"160","male",36,"asian","no",1,"native","married",5,3,23,0,140000,40,49,"55-9830","928110P2","Mideast"
"161","male",41,"white","no",1,"native","married",3,1,20,0,70000,52,49,"51-4041","3335","Rocky Mountain"
"162","male",19,"white","no",1,"native","never married",4,1,19,0,8000,14,26,"21-109X","9211MP","Far West"
"163","male",36,"black","no",1,"native","married",4,2,21,1,50000,40,49,"25-2020","6111","Rocky Mountain"
"164","female",53,"white","no",1,"native","married",2,0,21,0,37000,40,49,"43-9061","611M3","Great Lakes"
"165","female",30,"white","no",1,"native","married",4,2,21,0,40000,40,39,"25-2020","6111","Plains"
"166","male",33,"white","no",1,"native","never married",1,0,22,0,118000,65,49,"11-91XX","9211MP","Mideast"
"167","female",39,"white","no",1,"native","never married",1,0,22,0,47000,45,47,"25-1000","611M1","Southeast"
"168","female",30,"asian","no",5,"foreign-born","never married",2,0,22,2,9000,20,49,"25-9040","611M1","Southeast"
"169","male",63,"white","no",1,"native","married",3,0,22,0,32000,40,49,"25-2020","6111","Great Lakes"
"170","female",52,"white","no",1,"native","divorced",1,0,19,0,75000,40,49,"43-9061","92MP","Far West"
"171","female",62,"white","no",1,"native","married",5,0,19,0,43000,35,49,"43-9XXX","92119","Mideast"
"172","female",35,"white","no",1,"native","married",4,2,22,0,68000,37,49,"27-3092","92MP","New England"
"173","female",55,"white","no",1,"native","married",2,0,16,0,40000,40,47,"43-6014","928P","Southeast"
"174","female",35,"white","no",1,"native","married",3,1,22,0,96000,36,49,"29-1031","622M","Far West"
"175","female",29,"white","no",1,"native","never married",1,0,22,0,12000,40,0,"13-1161","5615","New England"
"176","female",54,"black","no",1,"native","divorced",2,0,19,0,46000,40,49,"13-2081","92113","Southeast"
"177","female",57,"black","no",4,"foreign-born","divorced",6,0,16,0,70000,40,49,"43-9022","928P","Mideast"
"178","female",32,"white","yes",1,"native","married",5,3,20,0,11000,38,26,"25-9040","6111","Great Lakes"
"179","female",30,"white","yes",1,"native","married",2,0,22,1,85000,40,47,"11-9030","6111","Mideast"
"180","female",53,"white","no",1,"native","married",4,0,20,0,45000,40,49,"43-6014","6111","Plains"
"181","female",37,"white","no",1,"native","married",5,3,23,0,80000,20,49,"29-1210","622M","Southeast"
"182","male",36,"mix","yes",1,"native","married",3,1,21,1,150000,40,49,"17-21YY","334M2","Southwest"
"183","female",62,"black","no",1,"native","divorced",2,0,21,0,2800,12,49,"21-109X","6111","Far West"
"184","male",57,"white","no",1,"native","married",2,0,22,0,50000,50,49,"11-91XX","923","Southeast"
"185","female",44,"white","no",1,"native","divorced",1,0,23,0,116000,50,49,"11-9030","6111","Mideast"
"186","female",62,"white","no",1,"native","married",2,0,22,0,1e+05,40,49,"25-1000","611M1","Mideast"
"187","female",64,"black","no",1,"native","never married",3,1,1,0,30000,40,47,"37-201X","5617Z","Southeast"
"188","male",40,"white","no",1,"native","married",4,2,21,0,120000,45,49,"41-1012","5241","Rocky Mountain"
"189","male",40,"white","no",1,"native","married",3,1,21,0,90000,40,49,"43-1011","92113","Plains"
"190","male",57,"asian","no",4,"foreign-born","married",3,0,19,1,65000,40,49,"49-3023","491","Far West"
"191","female",31,"black","no",1,"native","never married",2,0,19,0,22000,40,49,"25-9040","6111","Southeast"
"192","female",42,"black","no",1,"native","married",4,2,16,0,30000,49,49,"33-3012","92MP","Southeast"
"193","female",34,"white","no",1,"native","married",4,2,21,0,12000,8,39,"29-1141","622M","Far West"
"194","male",58,"white","no",1,"native","married",5,0,19,0,98000,40,47,"11-9030","611M1","Plains"
"195","female",36,"black","no",5,"foreign-born","married",4,2,21,1,110000,60,49,"55-9830","928110P6","Plains"
"196","male",33,"black","no",1,"native","married",5,3,20,0,42500,55,49,"55-9830","928110P1","Rocky Mountain"
"197","male",31,"white","no",1,"native","married",3,1,21,0,28000,20,49,"15-1230","6111","Southeast"
"198","male",24,"white","no",1,"native","never married",3,0,16,0,10000,32,26,"53-6030","447","Mideast"
"199","male",64,"white","no",1,"native","married",2,0,21,0,9100,20,26,"37-201X","6111","Great Lakes"
"200","female",28,"other","yes",1,"native","never married",1,0,18,1,26000,40,49,"39-9011","6244","Southwest"
"201","female",28,"white","no",1,"native","never married",2,0,16,0,26000,40,49,"21-1029","6241","Great Lakes"
"202","female",48,"black","no",1,"native","never married",2,0,22,0,91000,31,39,"25-2020","6111","Great Lakes"
"203","male",44,"white","no",1,"native","married",4,1,16,0,40000,40,49,"53-3030","562","Plains"
"204","male",30,"white","no",1,"native","never married",2,0,19,0,12000,50,49,"29-2042","622M","Southeast"
"205","male",22,"white","no",1,"native","never married",3,0,16,0,19000,40,49,"33-3012","92MP","Southeast"
"206","female",53,"asian","no",5,"foreign-born","divorced",1,0,21,1,1e+05,40,49,"15-1211","928P","Mideast"
"207","male",27,"white","no",1,"native","never married",1,0,21,0,42000,60,49,"25-2030","6111","Plains"
"208","male",50,"white","no",1,"native","married",3,0,16,0,45000,40,49,"37-201X","9211MP","Plains"
"209","female",39,"white","no",1,"native","married",7,3,21,0,40000,35,49,"21-1029","6241","Mideast"
"210","female",56,"white","no",1,"native","married",2,0,16,0,26300,41,49,"43-3071","5221M","Great Lakes"
"211","female",52,"white","no",1,"native","married",5,1,16,0,22000,40,49,"43-5051","491","Rocky Mountain"
"212","male",33,"white","yes",1,"native","married",3,1,19,0,80000,55,49,"33-3050","92MP","Far West"
"213","female",48,"black","no",1,"native","never married",1,0,23,0,98000,40,49,"19-3034","6111","Far West"
"214","female",45,"white","no",1,"native","married",3,0,21,0,32000,40,49,"43-6014","23","Plains"
"215","female",37,"white","no",1,"native","married",5,3,21,0,54000,40,49,"23-2011","92MP","Plains"
"216","female",47,"other","yes",1,"native","divorced",1,0,21,0,56000,40,49,"27-3031","2213M","Rocky Mountain"
"217","female",56,"white","yes",4,"foreign-born","divorced",1,0,21,2,35000,40,49,"25-9040","6111","Rocky Mountain"
"218","male",19,"white","no",1,"native","never married",1,-1,19,0,5000,15,39,"25-3041","611M1","Plains"
"219","female",57,"white","no",1,"native","married",3,0,21,0,4000,8,0,"25-2020","6111","Rocky Mountain"
"220","female",42,"other","yes",4,"foreign-born","married",1,0,19,1,3000,13,49,"31-1122","9211MP","Far West"
"221","male",53,"white","no",1,"native","divorced",4,0,20,0,65000,40,49,"11-91XX","9211MP","Mideast"
"222","female",45,"black","no",1,"native","separated",2,0,14,0,30000,40,49,"21-1093","9211MP","Mideast"
"223","male",47,"white","no",1,"native","married",4,2,22,0,108000,45,49,"13-1082","5417","Far West"
"224","male",47,"AIAN","no",1,"native","never married",1,0,21,0,87000,45,49,"37-1011","6111","Far West"
"225","female",29,"asian","no",1,"native","married",3,1,22,1,80000,20,39,"25-1000","611M1","Far West"
"226","male",34,"white","no",1,"native","married",3,1,22,0,55000,60,49,"33-3050","92MP","Southeast"
"227","male",55,"white","no",1,"native","married",3,0,16,0,25000,21,49,"13-1041","92M2","Mideast"
"228","male",41,"white","no",1,"native","never married",1,0,21,0,59000,40,49,"15-1299","611M1","Southeast"
"229","male",59,"white","no",4,"foreign-born","married",2,0,24,1,150000,60,49,"17-21YY","92M2","Far West"
"230","male",40,"white","no",1,"native","married",5,3,21,0,60000,45,49,"33-3050","92MP","Great Lakes"
"231","female",50,"white","no",1,"native","married",2,0,21,0,34000,40,49,"21-1029","9211MP","Southeast"
"232","male",60,"white","yes",1,"native","married",2,0,20,0,85000,40,49,"37-3013","9211MP","Far West"
"233","female",44,"white","no",1,"native","married",4,2,22,1,90000,35,39,"25-2030","6111","New England"
"234","male",22,"black","no",1,"native","never married",2,0,19,0,22900,40,49,"37-201X","622M","Southeast"
"235","male",43,"white","no",1,"native","married",4,2,21,0,54000,40,49,"33-3012","92MP","Rocky Mountain"
"236","female",55,"white","no",1,"native","divorced",3,0,22,0,60000,45,49,"25-30XX","923","Far West"
"237","female",54,"white","no",1,"native","married",2,0,16,0,35000,40,49,"43-6014","9211MP","Southeast"
"238","male",41,"white","no",4,"foreign-born","married",5,3,24,1,84000,45,49,"25-1000","611M1","Rocky Mountain"
"239","female",42,"white","no",1,"native","married",4,2,22,0,46000,60,49,"25-2020","6111","Southeast"
"240","male",37,"white","no",1,"native","married",4,0,11,0,23500,40,49,"37-201X","6111","Southeast"
"241","female",30,"white","no",1,"native","married",2,0,19,0,20000,30,39,"43-5052","491","Rocky Mountain"
"242","female",44,"AIAN","no",1,"native","divorced",4,2,19,0,13500,20,49,"21-109X","9211MP","New England"
"243","female",43,"white","no",1,"native","divorced",2,0,21,0,38000,40,49,"25-2020","6111","Rocky Mountain"
"244","male",37,"white","no",1,"native","married",3,1,19,0,45000,40,49,"33-3050","92MP","Southeast"
"245","female",39,"white","no",1,"native","married",5,3,22,0,47000,40,49,"25-2020","6111","Southeast"
"246","male",21,"white","no",1,"native","never married",1,-1,19,0,13100,40,49,"55-9830","928110P2","Rocky Mountain"
"247","female",59,"asian","no",4,"foreign-born","married",3,1,22,1,130000,40,49,"29-1141","6211","Far West"
"248","female",59,"black","no",1,"native","divorced",2,0,20,0,36200,40,49,"31-1122","623M","Great Lakes"
"249","male",26,"white","no",1,"native","married",2,0,19,0,50000,60,49,"33-2011","92MP","Rocky Mountain"
"250","female",31,"white","no",1,"native","married",4,2,19,0,25000,40,49,"31-113X","622M","Great Lakes"
"251","male",43,"white","yes",1,"native","divorced",4,0,19,1,45000,40,49,"33-9093","928P","Rocky Mountain"
"252","male",31,"white","no",1,"native","married",3,1,16,0,48000,42,49,"55-9830","928110P3","Southeast"
"253","female",29,"black","no",1,"native","never married",2,0,17,0,5000,38,47,"31-1122","6214","Southeast"
"254","female",26,"white","no",1,"native","never married",1,0,22,0,58000,40,49,"25-2020","6111","Mideast"
"255","female",45,"white","no",1,"native","married",2,0,21,0,25800,40,49,"43-4111","622M","Rocky Mountain"
"256","female",52,"white","no",1,"native","married",2,0,21,0,47000,45,49,"25-2020","6111","Plains"
"257","female",49,"white","no",1,"native","married",3,1,21,0,115000,40,49,"43-3031","92M1","Rocky Mountain"
"258","female",49,"other","yes",4,"foreign-born","never married",4,1,20,2,25000,36,39,"25-9040","6111","Far West"
"259","female",42,"white","no",1,"native","married",4,2,21,0,68000,40,49,"25-2030","6111","Mideast"
"260","female",43,"white","no",1,"native","married",3,1,22,0,25000,40,49,"43-6014","611M1","Mideast"
"261","male",35,"white","no",1,"native","married",4,2,21,0,56000,35,49,"13-1070","92MP","Mideast"
"262","female",40,"white","no",1,"native","divorced",3,2,22,0,80000,40,49,"25-2020","6111","Far West"
"263","male",45,"white","no",3,"native","married",8,6,24,0,114000,43,49,"19-1010","5417","Great Lakes"
"264","male",26,"black","no",1,"native","never married",1,0,18,0,55000,45,49,"33-2011","92MP","Mideast"
"265","female",54,"white","no",1,"native","divorced",1,0,16,0,44000,40,49,"43-5051","491","Great Lakes"
"266","female",40,"white","no",1,"native","divorced",1,0,20,0,77000,40,49,"33-3021","92MP","Great Lakes"
"267","female",55,"white","no",1,"native","married",3,0,21,0,54000,50,49,"25-2020","6111","Southeast"
"268","female",64,"white","no",1,"native","married",2,0,22,0,14500,10,26,"25-4022","611M1","Far West"
"269","female",23,"white","no",1,"native","married",2,0,22,0,47900,33,49,"25-2020","6111","Southeast"
"270","male",58,"white","no",1,"native","married",4,0,24,0,422000,60,49,"29-1210","611M1","Southeast"
