"","sex","age","race","juv_fel","juv_misd","juv_other","priors","charge","two_year_recid"
"244",0,37,1,0,0,0,0,1,0
"245",0,32,0,0,1,0,14,1,1
"246",0,26,0,0,1,0,4,0,1
"247",0,53,1,0,0,0,1,0,0
"248",0,28,0,0,0,0,25,1,1
"249",0,44,1,0,0,0,8,0,1
"250",0,25,0,0,0,0,0,1,0
"251",0,22,1,0,0,1,1,0,1
"252",1,37,0,0,0,0,0,0,0
"253",1,40,0,0,0,0,3,1,0
"254",0,36,1,0,0,0,8,1,1
"255",0,30,1,0,0,0,4,1,0
"256",0,22,0,0,0,0,3,0,1
"257",1,24,1,0,0,0,1,0,1
"258",0,27,0,0,0,0,3,0,0
"259",1,31,0,0,0,0,0,0,0
"260",0,23,0,0,0,1,1,1,1
"261",1,23,1,0,0,4,5,1,1
"262",0,24,0,0,0,0,0,0,1
"263",0,29,0,0,0,0,1,0,0
"264",0,20,0,0,0,0,1,1,1
"265",0,30,0,0,0,0,2,1,1
"266",0,39,0,0,0,0,0,1,0
"267",0,27,0,0,0,0,4,1,0
"268",0,31,1,0,0,0,2,0,0
"269",1,37,0,0,0,0,2,1,0
"270",0,20,0,0,0,0,0,1,1
"271",0,22,0,0,0,1,0,1,1
"272",1,52,0,0,0,0,0,1,0
"273",1,23,0,0,0,0,0,1,0
"274",1,48,0,0,0,0,0,1,0
"275",0,66,0,0,0,0,8,1,1
"276",0,25,1,0,0,0,0,1,1
"277",0,27,1,0,0,0,0,1,1
"278",0,30,0,0,0,0,11,1,1
"279",0,22,0,0,1,1,3,0,1
"280",1,22,1,0,0,0,1,1,0
"281",0,35,0,0,0,0,2,1,1
"282",0,32,1,0,0,0,2,1,0
"283",1,41,0,0,0,0,2,0,0
"284",1,25,0,0,0,0,0,1,0
"285",0,44,0,0,0,0,24,0,1
"286",0,52,0,0,0,0,3,1,1
"287",0,43,0,0,0,0,0,1,0
"288",0,37,1,0,0,0,3,1,0
"289",0,28,0,0,0,0,3,0,0
"290",0,70,1,0,0,0,1,0,0
"291",0,54,1,0,0,0,6,1,0
"292",0,46,1,0,0,0,3,1,0
"293",0,21,0,0,0,0,0,0,1
"294",0,26,0,0,0,0,1,0,1
"295",0,38,0,0,0,0,3,1,0
"296",0,34,1,0,0,0,5,0,0
"297",0,19,0,0,0,0,1,1,1
"298",0,34,0,0,0,0,5,0,0
"299",0,23,1,0,0,0,0,1,1
"300",0,34,0,0,0,0,5,1,0
"301",0,30,0,0,0,0,2,1,0
"302",0,39,0,0,0,0,6,1,0
"303",0,24,0,0,0,0,0,1,0
"304",0,33,1,0,0,0,1,0,0
"305",0,58,1,0,0,0,2,1,0
"306",1,21,0,0,0,0,0,0,1
"307",0,21,0,0,0,0,1,1,1
"308",0,23,0,0,0,1,4,0,1
"309",0,62,1,0,0,0,0,1,0
"310",0,27,0,1,0,1,4,0,1
"311",0,37,1,0,0,0,5,1,0
"312",0,43,0,0,0,0,2,1,0
"313",1,32,0,0,0,0,5,1,0
"314",0,23,0,0,0,0,0,1,0
"315",0,27,0,0,0,0,0,0,0
"316",0,44,1,0,0,0,0,0,0
"317",0,28,1,0,0,0,3,0,0
"318",1,42,1,0,0,0,0,1,0
"319",0,24,0,0,1,0,9,1,1
"320",0,27,0,0,0,0,0,1,0
"321",0,20,0,0,0,0,0,1,1
"322",1,51,1,0,0,0,0,0,0
"323",0,56,1,0,0,0,0,0,0
"324",0,29,0,0,0,0,7,1,1
"325",0,20,0,0,0,0,0,1,1
"326",0,53,1,0,0,0,6,1,0
"327",0,27,1,0,0,0,8,1,1
"328",0,24,0,0,1,0,2,1,1
"329",0,53,1,0,0,0,36,1,1
"330",0,28,1,0,0,0,2,0,0
"331",0,45,0,0,0,0,1,1,0
"332",0,21,0,0,1,0,3,1,1
"333",1,36,0,0,0,0,0,1,1
"334",1,25,1,0,0,0,2,0,0
"335",1,23,0,0,0,0,1,0,0
"336",0,28,1,0,0,0,1,1,1
"337",1,21,0,0,0,0,0,1,1
"338",0,36,1,0,0,0,0,0,0
"339",0,24,0,0,0,0,0,1,0
"340",0,28,0,0,0,0,3,1,1
"341",0,30,0,0,0,0,1,1,0
"342",0,29,0,0,0,0,0,1,0
"343",1,30,1,0,0,0,0,0,1
"344",0,51,0,0,0,0,1,0,0
"345",0,33,0,0,0,0,3,1,0
"346",1,25,0,0,0,0,2,1,1
"347",0,32,0,0,1,0,12,1,1
"348",0,23,0,0,0,1,1,1,1
"349",0,47,0,0,0,0,3,1,0
"350",1,32,0,0,0,0,1,1,0
"351",0,37,1,0,0,0,0,1,0
"352",0,19,0,0,2,0,2,1,1
"353",0,27,0,0,0,0,0,0,1
"354",0,39,0,0,0,0,0,0,0
"355",1,21,1,0,0,2,0,1,1
"356",0,69,1,0,0,0,0,0,0
"357",0,21,1,0,0,0,2,1,1
"358",0,26,0,0,0,1,6,0,1
"359",0,22,1,0,0,0,0,1,0
"360",1,23,0,0,0,0,0,1,1
"361",0,49,0,0,0,0,3,1,1
"362",0,29,0,0,0,1,2,0,0
"363",1,60,1,0,0,0,0,0,0
"364",1,26,0,0,0,0,0,0,1
"365",0,23,0,2,0,0,3,1,1
"366",0,34,0,0,0,0,2,0,1
"367",1,20,0,1,0,0,1,1,0
"368",0,36,0,0,0,0,1,1,0
"369",0,30,1,0,0,0,0,1,0
"370",0,21,0,0,1,0,1,1,0
"371",0,22,1,0,0,0,2,0,1
"372",0,57,0,0,0,0,18,1,1
"373",0,21,0,0,0,0,4,1,1
"374",0,21,0,0,0,0,0,1,1
"375",0,34,1,0,0,0,1,0,0
"376",1,50,1,0,0,0,1,0,0
"377",0,40,1,0,0,0,0,1,1
"378",0,25,0,0,0,0,7,1,1
"379",1,53,1,0,0,0,1,0,0
"380",1,24,0,0,0,0,0,1,0
"381",0,42,0,0,0,0,1,1,0
"382",0,28,0,0,0,0,1,0,0
"383",0,24,1,0,0,0,1,0,0
"384",0,26,0,1,1,0,6,1,1
"385",0,22,0,0,0,0,4,1,1
"386",0,21,1,0,0,0,3,0,1
"387",0,37,0,0,0,0,23,1,1
"388",0,35,0,0,0,0,2,1,1
"389",0,53,0,0,0,0,2,1,0
"390",0,60,0,0,0,0,1,1,0
"391",0,29,0,0,0,0,7,1,0
"392",0,48,1,1,0,0,23,1,1
"393",1,52,1,0,0,0,0,0,0
"394",0,27,0,0,0,0,12,1,1
"395",0,28,0,0,0,0,5,1,1
"396",0,33,1,0,0,0,3,0,0
"397",1,28,0,0,0,0,0,1,0
"398",0,47,1,0,0,0,5,1,1
"399",0,36,0,0,0,0,14,1,1
"400",0,29,0,1,0,0,2,1,1
"401",0,22,0,0,0,1,0,0,1
"402",0,26,0,0,0,2,6,1,1
"403",0,25,1,0,0,0,0,1,0
"404",0,68,1,0,0,0,2,1,0
"405",0,56,0,0,0,0,5,1,0
"406",0,27,0,0,0,0,9,1,1
"407",0,52,1,0,0,0,4,1,0
"408",0,32,0,0,0,0,3,1,0
"409",0,60,0,0,0,0,4,1,0
"410",0,23,0,0,0,0,1,0,0
"411",1,39,1,0,0,0,0,0,1
"412",0,56,1,0,0,0,0,0,0
"413",1,22,0,0,0,0,0,1,1
"414",1,27,0,0,0,0,1,1,0
"415",0,53,0,0,0,0,11,1,1
"416",0,25,1,0,0,0,0,0,0
"417",0,21,0,0,0,0,0,0,0
"418",0,22,1,0,0,0,0,1,0
"419",1,58,1,0,0,0,2,0,0
"420",0,31,0,0,0,0,7,0,0
"421",0,22,1,0,0,0,1,1,1
"422",0,28,0,0,0,0,8,1,1
"423",0,42,0,0,0,0,1,1,0
"424",0,20,0,0,0,0,0,1,1
"425",0,29,1,0,0,0,0,0,1
"426",0,29,0,0,0,0,8,1,1
"427",0,58,0,0,0,0,21,0,1
"428",0,22,0,0,0,0,3,1,1
"429",0,48,0,0,0,0,1,0,0
"430",0,37,1,0,0,0,0,1,0
"431",0,57,0,0,0,0,1,1,1
"432",0,27,1,0,0,0,3,0,0
"433",0,26,0,0,0,0,3,1,0
"434",0,24,1,0,1,1,3,1,1
"435",0,33,1,0,0,0,0,1,0
"436",0,29,0,0,0,0,2,1,1
"437",1,24,0,0,0,0,3,1,1
"438",0,19,1,0,0,1,1,1,1
"439",0,36,1,0,0,0,2,0,0
"440",1,24,1,0,0,0,0,1,1
"441",0,34,1,0,0,0,0,0,0
"442",0,25,0,0,0,0,2,1,1
"443",0,20,0,1,0,1,1,1,1
"444",0,28,0,0,0,0,2,0,1
"445",0,24,0,0,0,0,1,0,0
"446",0,61,1,0,0,0,4,1,0
"447",1,50,0,0,0,0,3,1,0
"448",0,30,0,0,0,0,1,0,0
"449",0,38,0,0,0,0,5,1,0
"450",0,24,1,0,0,0,0,0,0
"451",0,45,0,0,0,0,16,1,0
"452",1,46,0,0,0,0,2,1,1
"453",0,41,1,0,0,0,0,0,0
"454",0,20,0,0,0,1,0,1,1
"455",0,27,0,0,0,0,13,0,1
"456",1,51,0,0,0,0,16,1,1
"457",0,26,0,0,0,0,1,0,1
"458",0,29,0,0,0,0,3,1,1
"459",0,52,1,0,0,0,6,1,1
"460",0,28,1,0,0,0,1,1,0
"461",1,34,0,0,0,0,4,1,1
"462",0,55,0,0,0,0,5,1,0
"463",0,26,0,1,1,0,10,1,1
"464",0,28,0,0,0,0,5,1,1
"465",0,63,1,0,0,0,2,1,0
"466",0,42,0,0,0,0,0,1,0
"467",0,23,0,1,2,2,6,1,1
"468",0,54,0,0,0,0,28,1,1
"469",0,35,0,0,0,1,8,1,1
"470",1,24,0,1,0,0,6,1,1
"471",0,54,0,0,0,0,2,0,0
"472",0,58,0,0,0,0,12,0,1
"473",0,23,1,0,0,1,1,0,1
"474",0,35,0,0,0,0,1,0,0
"475",0,20,0,0,0,0,1,1,1
"476",0,51,1,0,0,0,0,1,0
"477",0,24,0,0,0,0,0,1,1
"478",0,37,1,0,0,0,3,1,0
"479",0,47,1,0,0,0,3,1,0
"480",0,34,1,0,0,0,4,1,1
"481",0,56,1,0,0,0,0,1,0
"482",0,34,0,0,0,0,4,1,0
"483",0,59,1,0,0,0,1,1,0
"484",0,35,0,0,0,0,0,1,1
"485",0,58,0,0,0,0,1,1,0
"486",0,29,0,0,0,0,2,0,0
"487",1,24,1,0,0,1,6,1,1
"488",0,21,1,0,0,4,2,0,1
"489",0,26,0,0,0,0,2,0,1
"490",0,50,0,0,0,0,5,1,1
"491",0,26,0,0,0,0,1,1,0
"492",1,30,1,0,0,0,0,0,0
"493",0,29,1,0,0,0,6,1,1
"494",0,29,1,0,0,0,0,0,0
"495",0,54,0,0,0,0,0,0,0
"496",0,29,0,0,0,0,4,1,0
"497",1,59,1,0,0,0,0,0,0
"498",0,38,0,0,0,0,0,1,1
"499",1,22,0,0,0,0,2,1,1
"500",0,29,0,0,0,0,4,1,1
"501",0,27,1,0,0,0,1,0,0
"502",0,26,0,0,0,0,7,1,1
"503",0,52,0,0,0,0,20,1,0
"504",0,66,0,0,0,0,33,1,1
"505",0,27,1,0,0,0,2,1,1
"506",0,51,1,0,0,0,1,0,0
"507",0,35,1,0,0,0,1,1,0
"508",0,26,0,0,0,0,1,1,1
"509",0,52,1,0,0,0,4,0,0
"510",1,35,0,0,0,0,12,0,0
"511",0,48,0,0,0,0,12,1,1
"512",1,26,0,0,0,0,0,0,0
"513",1,48,1,0,0,0,0,0,0
"514",0,30,0,0,0,0,7,0,0
"515",0,28,0,0,0,0,2,0,0
"516",0,33,0,0,0,0,2,0,0
"517",1,34,0,0,0,0,6,1,0
"518",0,25,0,0,0,0,0,0,0
"519",0,59,0,0,0,0,10,1,1
"520",0,29,0,0,0,0,5,1,1
"521",0,24,1,0,0,0,0,1,0
"522",0,48,1,0,0,0,1,1,1
"523",0,55,0,0,0,0,0,0,1
"524",0,52,0,0,0,0,4,0,1
"525",0,20,0,0,0,0,0,1,0
"526",0,25,1,0,0,0,4,1,0
"527",0,24,1,0,0,0,0,1,0
"528",0,23,1,0,0,0,0,0,1
"529",0,27,1,0,1,3,6,1,0
"530",0,25,0,0,1,0,1,0,0
"531",0,31,0,0,0,0,0,1,0
"532",0,25,0,0,1,0,6,1,0
"533",0,32,1,0,0,0,1,1,0
"534",0,21,1,0,0,0,0,1,0
"535",0,37,0,0,0,0,1,1,0
"536",0,25,1,0,0,0,0,1,0
"537",0,32,0,1,1,0,20,1,1
"538",0,35,0,0,0,0,0,1,1
"539",0,42,0,0,0,0,14,1,1
"540",0,24,1,0,0,1,9,0,1
"541",0,22,1,1,0,4,6,1,1
"542",0,21,0,0,0,0,0,1,1
"543",0,47,1,0,0,0,1,0,0
"544",0,27,0,0,0,0,5,1,1
"545",0,43,0,0,0,0,2,0,0
"546",0,46,1,0,0,0,2,1,1
"547",0,44,0,0,0,0,1,0,0
"548",0,27,0,0,0,0,0,1,1
"549",0,23,1,0,0,0,2,1,0
"550",1,50,0,0,0,0,1,1,0
"551",0,42,0,0,0,0,8,1,1
"552",0,58,0,0,0,0,6,1,1
"553",0,26,0,0,0,1,3,1,1
"554",1,48,0,0,0,0,0,1,0
"555",0,39,0,0,0,0,3,1,0
"556",0,21,0,0,2,0,3,1,1
"557",0,63,1,0,0,0,1,0,0
"558",0,22,0,0,1,0,3,1,1
"559",0,50,0,0,0,0,3,0,0
"560",0,38,0,0,0,0,0,1,0
"561",0,41,1,0,0,0,1,1,1
"562",0,28,0,8,0,1,16,1,1
"563",1,30,0,0,0,0,0,0,0
"564",0,23,0,0,0,0,1,1,1
"565",0,25,1,0,0,0,2,1,0
"566",0,40,1,0,0,0,5,1,0
"567",0,24,0,0,0,0,8,1,1
"568",0,27,0,0,0,0,5,0,0
"569",0,44,1,0,0,0,11,0,0
"570",1,35,0,0,0,0,6,1,0
"571",0,42,1,0,0,0,0,0,0
"572",0,38,0,0,0,0,15,1,1
"573",0,26,0,0,0,0,4,1,1
"574",1,25,0,0,0,0,0,0,0
"575",0,24,1,0,0,0,1,1,0
"576",0,64,0,0,0,0,1,1,0
"577",1,49,1,0,0,0,2,0,0
"578",0,50,1,0,0,0,5,1,0
"579",0,28,1,0,0,0,8,1,1
"580",0,66,1,0,0,0,0,0,0
"581",1,46,1,0,0,0,0,0,0
"582",0,30,0,0,0,1,5,1,1
"583",1,22,1,0,0,0,0,0,0
"584",0,23,1,0,0,0,1,0,0
"585",0,30,0,0,0,0,0,0,1
"586",0,24,0,1,0,0,10,1,1
"587",0,31,0,0,0,0,0,0,0
"588",0,31,0,0,0,0,1,1,0
"589",0,21,0,4,0,0,4,1,1
"590",0,28,0,0,0,0,4,1,1
"591",0,25,0,0,0,0,0,0,0
"592",1,21,1,0,0,0,0,1,1
"593",0,27,0,0,0,0,0,0,0
"594",0,20,0,0,0,0,0,0,0
"595",0,32,0,0,0,0,1,1,0
"596",1,24,1,0,0,1,0,1,1
"597",0,20,0,1,0,0,1,1,0
"598",0,31,0,0,0,0,3,0,1
"599",0,27,0,0,0,0,3,0,1
"600",0,59,0,0,0,0,17,1,1
"601",0,40,0,0,0,0,0,1,0
"602",0,22,0,0,0,0,11,1,1
"603",1,38,0,0,0,0,1,1,0
"604",0,36,0,0,0,0,1,0,1
"605",0,30,0,0,0,0,1,0,1
"606",0,27,1,0,0,0,6,1,1
"607",0,43,0,0,0,0,1,0,0
"608",1,59,1,0,0,0,0,0,0
"609",0,37,1,0,0,0,2,0,0
"610",0,28,0,0,0,0,5,0,1
"611",0,38,1,0,0,0,0,1,0
"612",0,22,0,0,0,1,0,1,1
"613",0,43,0,0,0,0,1,0,0
"614",0,25,0,0,0,0,4,1,1
"615",0,51,1,0,0,0,0,0,0
"616",0,30,0,0,0,0,6,1,1
"617",0,29,1,0,0,0,2,0,0
"618",0,28,0,0,0,0,10,1,0
"619",0,26,0,0,0,0,6,0,1
"620",0,55,0,0,0,0,9,0,0
"621",1,23,1,0,0,0,3,1,1
"622",1,22,0,0,0,0,0,0,1
"623",1,19,1,0,0,0,2,1,1
"624",0,31,0,0,0,0,1,0,0
"625",0,29,0,0,0,0,0,0,0
"626",0,61,0,0,0,0,15,1,1
"627",0,24,0,0,0,0,4,1,1
"628",0,31,0,0,0,0,0,0,0
"629",0,20,0,0,1,1,4,1,1
"630",0,26,1,0,0,0,3,1,1
"631",0,27,1,0,0,0,5,0,1
"632",0,25,1,0,0,0,1,1,1
"633",0,23,1,0,2,0,3,1,1
"634",0,38,0,0,0,0,0,1,0
"635",0,27,0,0,2,1,18,1,1
"636",1,35,1,0,0,0,0,1,0
"637",0,22,0,0,0,0,0,1,1
"638",1,58,0,0,0,0,4,1,0
"639",1,57,1,0,0,0,0,0,0
"640",0,21,0,0,0,1,0,1,0
"641",1,22,0,0,0,0,0,1,1
"642",0,30,0,0,0,0,0,1,0
"643",0,24,1,0,0,0,1,1,1
"644",0,22,1,0,0,0,2,1,0
"645",0,29,1,0,0,0,3,1,0
"646",0,30,0,0,0,0,8,1,1
"647",1,31,0,0,0,0,10,1,1
"648",1,45,1,0,0,0,1,1,1
"649",0,23,0,0,0,0,4,1,1
"650",0,39,1,0,0,0,2,1,0
"651",0,31,0,0,0,0,0,1,1
"652",0,22,0,0,0,0,1,1,0
"653",1,27,0,0,0,0,9,1,0
"654",0,27,0,0,0,0,13,1,1
"655",0,38,1,0,0,0,1,1,0
"656",0,31,0,0,0,0,23,1,1
"657",0,47,0,0,0,0,20,1,1
"658",0,22,0,0,1,0,3,1,1
"659",0,35,0,0,0,1,1,0,1
"660",0,23,0,0,0,0,2,0,1
"661",0,65,0,0,0,0,2,0,0
"662",0,35,0,0,0,0,0,0,0
